BatterySteve 1.2.2 on 1000(01g, TA-082) CPU:[333/166] B:[72]
rt:00:00:29, batt:100, eq:1775 mAh /1800 mAh , bV:4.04V v, life:05:20  min, fps:20
rt:00:01:00, batt:100, eq:1771 mAh /1800 mAh , bV:4.04V v, life:05:18  min, fps:20
rt:00:01:29, batt:100, eq:1769 mAh /1800 mAh , bV:4.02V v, life:05:18  min, fps:20
rt:00:01:59, batt:100, eq:1766 mAh /1800 mAh , bV:4.02V v, life:05:19  min, fps:20
rt:00:02:29, batt:100, eq:1763 mAh /1800 mAh , bV:4.02V v, life:05:16  min, fps:20
rt:00:02:59, batt:100, eq:1760 mAh /1800 mAh , bV:4.02V v, life:05:16  min, fps:20
rt:00:03:30, batt:100, eq:1758 mAh /1800 mAh , bV:4.01V v, life:05:13  min, fps:20
rt:00:03:59, batt:100, eq:1756 mAh /1800 mAh , bV:4.01V v, life:05:13  min, fps:20
rt:00:04:29, batt:100, eq:1753 mAh /1800 mAh , bV:4.01V v, life:05:11  min, fps:20
rt:00:04:59, batt:100, eq:1751 mAh /1800 mAh , bV:4.01V v, life:05:10  min, fps:20
rt:00:05:29, batt:100, eq:1748 mAh /1800 mAh , bV:4.01V v, life:05:10  min, fps:20
rt:00:06:00, batt:100, eq:1745 mAh /1800 mAh , bV:4.00V v, life:05:10  min, fps:20
rt:00:06:29, batt:100, eq:1743 mAh /1800 mAh , bV:4.00V v, life:05:10  min, fps:20
rt:00:06:59, batt:100, eq:1740 mAh /1800 mAh , bV:4.00V v, life:05:09  min, fps:20
rt:00:07:29, batt:100, eq:1737 mAh /1800 mAh , bV:4.00V v, life:05:07  min, fps:20
rt:00:07:59, batt:100, eq:1734 mAh /1800 mAh , bV:3.99V v, life:05:04  min, fps:20
rt:00:08:30, batt:100, eq:1732 mAh /1800 mAh , bV:3.99V v, life:05:06  min, fps:20
rt:00:08:59, batt:100, eq:1729 mAh /1800 mAh , bV:3.99V v, life:05:07  min, fps:20
rt:00:09:30, batt:100, eq:1726 mAh /1800 mAh , bV:3.99V v, life:05:08  min, fps:20
rt:00:09:59, batt:100, eq:1723 mAh /1800 mAh , bV:3.98V v, life:05:05  min, fps:20
rt:00:10:29, batt:100, eq:1721 mAh /1800 mAh , bV:3.99V v, life:05:07  min, fps:20
rt:00:11:00, batt:100, eq:1718 mAh /1800 mAh , bV:3.98V v, life:05:07  min, fps:20
rt:00:11:29, batt:100, eq:1716 mAh /1800 mAh , bV:3.98V v, life:05:05  min, fps:20
rt:00:11:59, batt:100, eq:1714 mAh /1800 mAh , bV:3.98V v, life:05:06  min, fps:20
rt:00:12:29, batt:100, eq:1711 mAh /1800 mAh , bV:3.98V v, life:05:02  min, fps:20
rt:00:13:00, batt:100, eq:1708 mAh /1800 mAh , bV:3.98V v, life:05:03  min, fps:20
rt:00:13:29, batt:100, eq:1706 mAh /1800 mAh , bV:3.98V v, life:05:02  min, fps:20
rt:00:13:59, batt:100, eq:1703 mAh /1800 mAh , bV:3.97V v, life:05:02  min, fps:20
rt:00:14:30, batt:100, eq:1700 mAh /1800 mAh , bV:3.97V v, life:04:58  min, fps:20
rt:00:14:59, batt:100, eq:1697 mAh /1800 mAh , bV:3.97V v, life:05:00  min, fps:20
rt:00:15:30, batt:100, eq:1695 mAh /1800 mAh , bV:3.97V v, life:04:57  min, fps:20
rt:00:15:59, batt:100, eq:1692 mAh /1800 mAh , bV:3.96V v, life:04:55  min, fps:20
rt:00:16:29, batt:100, eq:1689 mAh /1800 mAh , bV:3.96V v, life:04:57  min, fps:20
rt:00:17:00, batt:100, eq:1686 mAh /1800 mAh , bV:3.96V v, life:04:57  min, fps:20
rt:00:17:29, batt:99, eq:1684 mAh /1800 mAh , bV:3.96V v, life:04:55  min, fps:20
rt:00:18:00, batt:99, eq:1681 mAh /1800 mAh , bV:3.96V v, life:04:54  min, fps:20
rt:00:18:29, batt:99, eq:1678 mAh /1800 mAh , bV:3.96V v, life:04:53  min, fps:20
rt:00:18:59, batt:99, eq:1676 mAh /1800 mAh , bV:3.95V v, life:04:55  min, fps:20
rt:00:19:30, batt:99, eq:1675 mAh /1800 mAh , bV:3.95V v, life:04:55  min, fps:20
rt:00:19:59, batt:99, eq:1671 mAh /1800 mAh , bV:3.95V v, life:04:53  min, fps:20
rt:00:20:29, batt:98, eq:1668 mAh /1800 mAh , bV:3.95V v, life:04:52  min, fps:20
rt:00:21:00, batt:98, eq:1665 mAh /1800 mAh , bV:3.94V v, life:04:51  min, fps:20
rt:00:21:29, batt:98, eq:1663 mAh /1800 mAh , bV:3.94V v, life:04:48  min, fps:20
rt:00:22:00, batt:98, eq:1660 mAh /1800 mAh , bV:3.94V v, life:04:52  min, fps:20
rt:00:22:29, batt:98, eq:1657 mAh /1800 mAh , bV:3.94V v, life:04:49  min, fps:20
rt:00:22:59, batt:98, eq:1654 mAh /1800 mAh , bV:3.94V v, life:04:46  min, fps:20
rt:00:23:30, batt:97, eq:1652 mAh /1800 mAh , bV:3.94V v, life:04:45  min, fps:20
rt:00:23:59, batt:97, eq:1650 mAh /1800 mAh , bV:3.94V v, life:04:46  min, fps:20
